carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos,Cohorte 13
1755555,Juan Nieves,800,7,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,8,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,9,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,10,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,11,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,10,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,11,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,12,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,13,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,14,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,15,2017,FD3232,Psicologia,3,15,
